adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022
UA5906003,Vilshanska,Sumska,Sumy,34.07719729264566,50.82247383795832,0,4.790908764524561,0
UA5906005,Korovynska,Sumska,Sumy,33.72775387156193,50.826103153130475,0,2.520223641517697,0
UA5906007,Lypovodolynska,Sumska,Sumy,33.809164669137026,50.592148900555756,0,8.179185470606381,0
UA5906009,Nedryhailivska,Sumska,Sumy,33.894933131817815,50.88810160588237,1,-7.353120315824001,1
UA5906011,Romenska,Sumska,Sumy,33.43530207487898,50.76607164471222,1,-7.415218648727505,5
UA5906013,Synivska,Sumska,Sumy,34.097802355329314,50.593557531036055,0,7.884210299136816,0
UA5906015,Khmelivska,Sumska,Sumy,33.51947376920603,50.92338742036166,0,6.949982043710118,0
UA5908001,Bezdrytska,Sumska,Sumy,34.93729156098238,50.89775645837085,0,3.3401952065852742,0
UA5908003,Bilopilska,Sumska,Sumy,34.34699043893771,51.156275447349316,1,-3.521553489772346,3
UA5908005,Verkhnosyrovatska,Sumska,Sumy,35.00424410509426,50.7933782421717,1,-5.425336793122746,1
UA5908007,Vorozhbianska,Sumska,Sumy,34.15844515818158,51.122096750517485,0,2.8444585101246624,0
UA5908009,Krasnopilska,Sumska,Sumy,35.265460890630514,50.75643880904363,1,-16.020923626265088,1
UA5908011,Lebedynska,Sumska,Sumy,34.46606617922531,50.623900114486126,1,-17.102112350232513,11
UA5908013,Mykolaivska,Sumska,Sumy,34.27765145518278,50.928218996738195,0,6.8459444637075215,0
UA5908015,Mykolaivska,Sumska,Sumy,34.63453486059096,51.072915170261304,0,8.776571290692353,0
UA5908017,Myropilska,Sumska,Sumy,35.210411911794736,50.99243740393293,0,6.54886948335762,0
UA5908019,Nyzhnosyrovatska,Sumska,Sumy,34.841631492566755,50.78448918265607,0,2.8408283587802643,0
UA5908021,Richkivska,Sumska,Sumy,34.45171769068905,51.0739238505142,0,5.585891440747968,0
UA5908023,Sadivska,Sumska,Sumy,34.60425252134883,50.81344397357003,1,-6.5039991440239415,1
UA5908025,Stepanivska,Sumska,Sumy,34.59450517892522,50.93131477237052,0,5.866121309242382,0
UA5908027,Sumska,Sumska,Sumy,34.85645827455499,50.96477798086849,1,-2.5121026554418804,38
UA5908029,Khotinska,Sumska,Sumy,34.84402685427133,51.14623553456815,0,9.409212059809324,0
UA5908031,Yunakivska,Sumska,Sumy,35.0323710438539,51.10244561582717,0,7.230068378864484,0
UA5910001,Berezivska,Sumska,Sumy,33.78394530775,51.74477322622447,0,5.5024882921594065,0
UA5910003,Hlukhivska,Sumska,Sumy,33.89870449087615,51.61510776178314,1,-4.353720079541528,5
UA5910005,Khutir-Mykhailivska,Sumska,Sumy,33.95606015861343,52.041189771278624,0,2.451786281669437,0
UA5910007,Esmanska,Sumska,Sumy,34.21650430770657,51.79663919345546,0,13.423066712830668,0
UA5910009,Znob-Novhorodska,Sumska,Sumy,33.545729261294206,52.24456351613353,0,10.588165465792928,0
UA5910011,Sveska,Sumska,Sumy,34.00595861859284,51.929061770152884,0,8.00414793661161,0
UA5910013,Seredyno-Budska,Sumska,Sumy,33.86339818311213,52.18579072162422,0,9.754738395229408,0
UA5910015,Shalyhynska,Sumska,Sumy,34.10968078865563,51.5744063084765,0,9.06179090957215,0
UA5910017,Shostkynska,Sumska,Sumy,33.4244348006694,51.871128850565555,1,-15.773339824576853,1
UA5910019,Yampilska,Sumska,Sumy,33.742372827063384,51.96891063713444,1,-7.219139599525328,1
UA6302001,Bohodukhivska,Kharkivska,Kharkiv,35.52849347363291,50.154842266989085,1,-11.501046775578235,3
UA6302003,Valkivska,Kharkivska,Kharkiv,35.577013985743676,49.839100603788665,0,8.892946514049543,0
UA6302005,Zolochivska,Kharkivska,Kharkiv,35.92876209444277,50.28297233076469,1,-19.150277267383196,9
UA6302007,Kolomatska,Kharkivska,Kharkiv,35.29805202864951,49.83549511525227,0,15.699130324511003,0
UA6302009,Krasnokutska,Kharkivska,Kharkiv,35.13152686587296,50.036556655402414,0,14.265592764553759,0
UA6304001,Balakliiska,Kharkivska,Kharkiv,36.8412739417847,49.38911269966877,1,-34.86387976748887,31
UA6304003,Barvinkivska,Kharkivska,Kharkiv,36.91730962997328,48.98366552145095,1,-43.43693375378115,11
UA6304005,Borivska,Kharkivska,Kharkiv,37.68450178801544,49.352733788504985,1,-11.163170838452285,3
UA6304007,Donetska,Kharkivska,Kharkiv,36.62337738381389,49.499701593059456,1,-19.802551108738793,8
UA6304009,Iziumska,Kharkivska,Kharkiv,37.248259947115436,49.24512185024694,1,-30.243079451337277,67
UA6304011,Kunievska,Kharkivska,Kharkiv,37.31032718793607,49.42117745127348,1,-14.56885587878208,1
UA6304013,Oskilska,Kharkivska,Kharkiv,37.2786524188483,49.13542433783314,1,-39.18229358059356,20
UA6304015,Savynska,Kharkivska,Kharkiv,37.10632587211096,49.4247298238701,1,-28.506666854934082,1
UA6306001,Zachepylivska,Kharkivska,Kharkiv,35.27940439005337,49.17699237851044,0,52.14633320478272,0
UA6306003,Kehychivska,Kharkivska,Kharkiv,35.79431610352339,49.308197186791055,0,18.03049323640345,0
UA6306005,Berestynska,Kharkivska,Kharkiv,35.48716181194104,49.48757258922719,0,24.04745372398423,0
UA6306007,Natalynska,Kharkivska,Kharkiv,35.548389610872434,49.30734224135534,0,33.81191071985264,0
UA6306009,Sakhnovshchynska,Kharkivska,Kharkiv,35.88360256912967,49.099976582235065,0,11.620212133864209,0
UA6306011,Starovirivska,Kharkivska,Kharkiv,35.81306020191319,49.56412333320985,0,4.227953525263735,0
UA6308001,Velykoburlutska,Kharkivska,Kharkiv,37.38022043431205,50.01620754092306,0,10.412787328950214,0
UA6308003,Vilkhuvatska,Kharkivska,Kharkiv,37.519553452790994,50.20682731202648,1,-5.59338458172405,2
UA6308005,Dvorichanska,Kharkivska,Kharkiv,37.794718166142104,49.90290132459566,0,15.469787074221742,0
UA6308007,Kindrashivska,Kharkivska,Kharkiv,37.4824091331693,49.78114482922636,1,-7.500165969513646,1
UA6308009,Kupianska,Kharkivska,Kharkiv,37.58959676069272,49.63117382418312,1,-3.4790566418979316,4
UA6308011,Kurylivska,Kharkivska,Kharkiv,37.67564209924201,49.561322682108674,0,1.306589079137123,0
UA6308013,Petropavlivska,Kharkivska,Kharkiv,37.845394993543344,49.66546147283684,1,-1.2440585318633985,1
UA6308015,Shevchenkivska,Kharkivska,Kharkiv,37.250041215567805,49.681745140860365,1,-17.266721465099458,3
UA6310001,Biliaivska,Kharkivska,Kharkiv,36.2062160190835,49.289279301517915,0,5.971707326531033,0
UA6310003,Blyzniukivska,Kharkivska,Kharkiv,36.49400326723986,48.77824069263574,1,-39.16383986691552,1
UA6310005,Lozivska,Kharkivska,Kharkiv,36.33475851112919,49.02247733679183,1,-9.869059776423464,6
UA6310007,Oleksiivska,Kharkivska,Kharkiv,36.324948875966406,49.399761719022806,1,-4.091941788486706,2
UA6310009,Zlatopilska,Kharkivska,Kharkiv,36.19366589218309,49.34173735512547,0,2.822042846293619,0
UA6312001,Bezliudivska,Kharkivska,Kharkiv,36.31293001865265,49.846967166311764,1,-2.540831526977511,1
UA6312003,Vysochanska,Kharkivska,Kharkiv,36.15934806913665,49.886101537849655,1,-4.0935834661189565,1
UA6312005,Vilkhivska,Kharkivska,Kharkiv,36.505923374009264,49.9968835145906,1,-11.720386182139688,7
UA6312007,Derhachivska,Kharkivska,Kharkiv,36.2050411554517,50.21179161737982,1,-10.036108188144967,28
UA6312009,Lypetska,Kharkivska,Kharkiv,36.52462812108706,50.202801129457825,0,5.894598323307787,0
UA6312011,Liubotynska,Kharkivska,Kharkiv,35.8999285229187,49.94753526158507,1,-4.0012710924060855,2
UA6312013,Malodanylivska,Kharkivska,Kharkiv,36.211785451355716,50.09570766479471,1,-7.181435211802203,1
UA6312015,Merefianska,Kharkivska,Kharkiv,36.06804002360631,49.8096308419751,1,-4.397428084064223,7
UA6312017,Novovodolazka,Kharkivska,Kharkiv,35.868751672253744,49.730592211939964,1,-7.648633439415476,1
UA6312019,Pivdenna,Kharkivska,Kharkiv,36.01842803480927,49.8807083395193,0,1.516386143796045,0
UA6312021,Pisochynska,Kharkivska,Kharkiv,36.055326624337276,49.93941781338226,1,-3.0870318044431806,4
UA6312023,Rohanska,Kharkivska,Kharkiv,36.452791582143625,49.9025646273505,1,-2.561177517771418,4
UA6312025,Solonytsivska,Kharkivska,Kharkiv,35.967290093048064,50.03755034341057,0,3.9226196356186587,0
UA6312027,Kharkivska,Kharkivska,Kharkiv,36.27485613735874,49.982731684893125,1,-8.369789917073906,81
UA6312029,Tsyrkunivska,Kharkivska,Kharkiv,36.42879340413031,50.098994783345866,1,-5.269082760142979,6
UA6314001,Vovchanska,Kharkivska,Kharkiv,37.09359882054017,50.250000801582196,1,-15.62163268664709,3
UA6314003,Zmiivska,Kharkivska,Kharkiv,36.23789895061012,49.675264163279536,0,11.392108161872008,0
UA6314005,Malynivska,Kharkivska,Kharkiv,36.74729600109876,49.75085111022463,1,-8.150954645710998,5
UA6314007,Novopokrovska,Kharkivska,Kharkiv,36.53035551589797,49.83288989855311,0,2.979136748334365,0
UA6314009,Pechenizka,Kharkivska,Kharkiv,37.00812078037571,49.921471960212365,1,-9.57638911897485,1
UA6314011,Slobozhanska,Kharkivska,Kharkiv,36.53164425480101,49.63855874547368,1,-5.14126151052788,1
UA6314013,Starosaltivska,Kharkivska,Kharkiv,36.876132149831676,50.0576198792535,1,-15.267841912418291,3
UA6314015,Prolisnenska,Kharkivska,Kharkiv,36.917586766230315,49.736791982245435,1,-19.19762991884899,2
UA6314017,Chuhuivska,Kharkivska,Kharkiv,36.6915714021098,49.932308377375165,1,-8.162175164733284,23
UA7402001,Koriukivska,Chernihivska,Chernihiv,32.305119707602316,51.81874571061376,1,-11.622323897557447,3
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4
UA7402005,Snovska,Chernihivska,Chernihiv,31.931939541803064,51.86853916144425,1,-20.32895083199087,3
UA7402007,Sosnytska,Chernihivska,Chernihiv,32.55924412018421,51.589767977481564,0,10.506749806171154,0
UA7402009,Kholmynska,Chernihivska,Chernihiv,32.619104571136724,51.880263852323544,0,6.753016188674513,0
