adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022,adm3_name_en,adm3_name_uk,month,pit_total_uah,month_dt,year,month_num,post_invasion,during_occ,post_lib,log_pit,pit_military_uah,pit_civilian_uah,share_military,share_civilian,pop_2022,kse_war_zone_apr2022,pit_total_pc,pit_civilian_pc,pit_military_pc,log_pit_pc,log_pit_civ_pc
UA7402001,Koriukivska,Chernihivska,Chernihiv,32.305119707602316,51.81874571061376,1,-11.622323897557449,3,Koriukivska,Корюківська,2024-10,94336431.60999998,2024-10-01,2024.0,10.0,1,0,1,18.362378020922673,-2516.87,94338948.47999999,-2.6679724439918322e-05,1.00002667972444,20456.0,0.0,4611.675381795071,4611.798420023464,-0.12303822839264762,8.436563310779324,8.436589984364018
UA7402001,Koriukivska,Chernihivska,Chernihiv,32.305119707602316,51.81874571061376,1,-11.622323897557449,3,Koriukivska,Корюківська,2024-11,106280004.98,2024-11-01,2024.0,11.0,1,0,1,18.48158773512235,-2516.87,106282521.85000001,-2.3681500583986893e-05,1.000023681500584,20456.0,0.0,5195.541893820884,5195.664932049277,-0.12303822839264762,8.555748662926295,8.555772339589419
UA7402001,Koriukivska,Chernihivska,Chernihiv,32.305119707602316,51.81874571061376,1,-11.622323897557449,3,Koriukivska,Корюківська,2024-12,121428202.4,2024-12-01,2024.0,12.0,1,0,1,18.6148337275652,-2516.87,121430719.27000001,-2.0727227697146572e-05,1.000020727227697,20456.0,0.0,5936.067774736019,5936.190812964412,-0.12303822839264762,8.688970649859218,8.688991373381025
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-01,3636705.8,2021-01-01,2021.0,1.0,0,0,0,15.106589104827272,352177.7,3284528.1,0.09683975536321911,0.903160244636781,25085.0,0.0,144.9753159258521,130.93594179788718,14.03937412796492,4.983437538413549,4.882316515385409
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-02,9921592.18,2021-02-01,2021.0,2.0,0,0,0,16.110224069188384,628944.6,9292647.58,0.06339149892371408,0.9366085010762859,25085.0,0.0,395.51892286226825,370.44638548933625,25.07253737293203,5.982723764683322,5.917404534737
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-03,15413403.41,2021-03-01,2021.0,3.0,0,0,0,16.550748105025086,912788.21,14500615.2,0.05922041911962129,0.9407795808803786,25085.0,0.0,614.4470165437513,578.0592066972293,36.387809846521826,6.422348859943209,6.361404729162445
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-04,22115594.81,2021-04-01,2021.0,4.0,0,0,0,16.91179361036411,1199027.8,20916567.01,0.05421639392026825,0.9457836060797319,25085.0,0.0,881.6262631054415,833.827666334463,47.798596770978676,6.782901852913738,6.727225315926601
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-05,28805171.029999997,2021-05-01,2021.0,5.0,0,0,0,17.17606551335783,1471586.41,27333584.619999997,0.05108757759040461,0.9489124224095954,25085.0,0.0,1148.3026123181182,1089.6386135140522,58.663998804066175,7.046910613336646,6.9945186876180365
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-06,36417807.809999995,2021-06-01,2021.0,6.0,0,0,0,17.41056846598371,1763944.03,34653863.78,0.04843630454647073,0.9515636954535295,25085.0,0.0,1451.7762730715565,1381.4575953757226,70.31867769583417,7.281231675852124,7.2316180605034575
UA7402003,Menska,Chernihivska,Chernihiv,32.114186845283406,51.50467120615003,1,-11.2785852894237,4,Menska,Менська,2021-07,41766198.87,2021-07-01,2021.0,7.0,0,0,0,17.547597954838846,2061346.4,39704852.47,0.049354417106906814,0.9506455828930932,25085.0,0.0,1664.9869990033883,1582.8125361769983,82.17446282639027,7.418173018976884,7.3675902169975425
