oblast,month,market_type,segment,class_label,room_count,median_uah,median_m2_uah,median_usd,median_m2_usd,listing_count,source
Kharkiv,2024-12,rental,room_count,,1,4000,133,94.56264775413712,3.1520882584712377,1932,lun_ua_api_flat_history_ctype2
Kharkiv,2023-11,rental,room_count,,3,7950,107,207.54470695731627,2.8042031066440414,696,lun_ua_api_flat_history_ctype2
Kharkiv,2023-09,rental,room_count,,1,4000,140,104.42500978984467,3.6548753426445635,2205,lun_ua_api_flat_history_ctype2
Kharkiv,2024-05,rental,room_count,,2,6500,125,169.69064090849758,3.263281555932646,1497,lun_ua_api_flat_history_ctype2
Kharkiv,2024-02,rental,room_count,,2,6000,115,156.637514684767,3.002219031458034,1522,lun_ua_api_flat_history_ctype2
Kharkiv,2024-06,rental,room_count,,2,6000,125,146.163215590743,3.0450669914738127,1634,lun_ua_api_flat_history_ctype2
Kharkiv,2024-11,rental,room_count,,1,4000,136,96.03841536614647,3.274036887482266,1870,lun_ua_api_flat_history_ctype2
Kharkiv,2024-04,rental,room_count,,2,6000,122,156.637514684767,3.1907641880230315,1467,lun_ua_api_flat_history_ctype2
Kharkiv,2024-07,rental,room_count,,2,6500,125,155.31660692951016,2.986857825567503,1652,lun_ua_api_flat_history_ctype2
Kharkiv,2024-07,rental,room_count,,1,4000,143,95.57945041816009,3.413551800648575,2781,lun_ua_api_flat_history_ctype2
Kharkiv,2024-08,rental,room_count,,2,6000,125,144.75271411338963,3.01568154402895,1362,lun_ua_api_flat_history_ctype2
Kharkiv,2024-12,rental,room_count,,2,5750,114,135.93380614657212,2.686438856651623,1096,lun_ua_api_flat_history_ctype2
Kharkiv,2023-06,rental,room_count,,3,8000,111,214.76510067114094,2.9828187919463085,569,lun_ua_api_flat_history_ctype2
Kharkiv,2023-10,rental,room_count,,2,6000,117,156.637514684767,3.0549536614019055,1417,lun_ua_api_flat_history_ctype2
Kharkiv,2023-11,rental,room_count,,2,5500,111,143.5843884610364,2.90066570943741,1738,lun_ua_api_flat_history_ctype2
Kharkiv,2023-08,rental,room_count,,2,6000,122,155.64202334630352,3.1704280155642026,1761,lun_ua_api_flat_history_ctype2
Kharkiv,2024-09,rental,room_count,,1,4000,140,95.8428177788427,3.3544986222594946,1846,lun_ua_api_flat_history_ctype2
Kharkiv,2024-06,rental,room_count,,1,4000,143,97.442143727162,3.480076561684357,2852,lun_ua_api_flat_history_ctype2
Kharkiv,2024-02,rental,room_count,,1,4000,140,104.42500978984467,3.6640354312226204,2619,lun_ua_api_flat_history_ctype2
Sumy,2024-04,primary_sale,room_count,,3,1532200,23215,40000,606.0606060606061,360,lun_ua_api_flat_history_ctype1
Sumy,2024-03,primary_sale,room_count,,3,1723687,24625,44999,642.8571428571429,289,lun_ua_api_flat_history_ctype1
Sumy,2024-08,primary_sale,room_count,,2,1284950,25295,30999.999999999996,610.2430555555555,460,lun_ua_api_flat_history_ctype1
Sumy,2024-12,primary_sale,room_count,,1,846000,24455,20000,578.125,393,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,3,1453550,22769,35000,548.2637362637363,274,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,2,1310700,24606,34000,638.297795071336,453,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,1,876435,25505,21000,611.1111111111111,462,lun_ua_api_flat_history_ctype1
Sumy,2024-02,primary_sale,room_count,,2,1413455,25349,36900,661.7647058823529,327,lun_ua_api_flat_history_ctype1
Sumy,2023-05,primary_sale,room_count,,3,1454700,20722,39000,555.5554959785524,77,lun_ua_api_flat_history_ctype1
Sumy,2024-02,primary_sale,room_count,,1,957625,25481,25000,665.2173913043479,353,lun_ua_api_flat_history_ctype1
Sumy,2024-06,primary_sale,room_count,,2,1354650,25811,33000,628.7683031869078,534,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,3,1585930,23115,38000,553.8461538461538,307,lun_ua_api_flat_history_ctype1
Sumy,2023-05,primary_sale,room_count,,2,1305463,23872,34999.008042895446,640,113,lun_ua_api_flat_history_ctype1
Sumy,2024-09,primary_sale,room_count,,2,1323000,25528,31700,611.6780045351475,436,lun_ua_api_flat_history_ctype1
Sumy,2024-01,primary_sale,room_count,,3,1647115,24327,43000,635.0741357234316,237,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,1,850000,24918,20467.132193594993,600,415,lun_ua_api_flat_history_ctype1
Sumy,2024-11,primary_sale,room_count,,2,1249500,24866,30000,597.0149253731344,451,lun_ua_api_flat_history_ctype1
Sumy,2023-12,primary_sale,room_count,,3,1647115,24321,43000,634.9206349206349,232,lun_ua_api_flat_history_ctype1
Sumy,2023-12,primary_sale,room_count,,2,1340675,25676,35000,670.3018995929443,344,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,3,1567058,23252,40650,603.1745784695202,300,lun_ua_api_flat_history_ctype1
Sumy,2023-11,primary_sale,room_count,,2,1374225,24860,35875.86476961232,648.9951703432972,368,lun_ua_api_flat_history_ctype1
Sumy,2024-10,primary_sale,room_count,,2,1328960,25841,32000,622.2222222222223,430,lun_ua_api_flat_history_ctype1
Sumy,2023-10,primary_sale,room_count,,1,947250,25005,24729.14763085759,652.7782273854588,303,lun_ua_api_flat_history_ctype1
Sumy,2024-08,primary_sale,room_count,,1,891175,25259,21500,609.375,521,lun_ua_api_flat_history_ctype1
Sumy,2023-10,primary_sale,room_count,,2,1321522,24982,34499.986946873774,652.1738676413001,297,lun_ua_api_flat_history_ctype1
Sumy,2024-05,primary_sale,room_count,,2,1340656,24490,34999.50000000001,639.344262295082,596,lun_ua_api_flat_history_ctype1
Sumy,2024-03,primary_sale,room_count,,1,957625,25281,25000,660,468,lun_ua_api_flat_history_ctype1
Sumy,2023-08,primary_sale,room_count,,1,983025,25379,25500.000000000004,658.3333333333334,539,lun_ua_api_flat_history_ctype1
Sumy,2023-12,primary_sale,room_count,,1,957625,26088,25000,681.0699588477366,359,lun_ua_api_flat_history_ctype1
Sumy,2024-11,primary_sale,room_count,,3,1488988,22489,35750,539.9562123700055,272,lun_ua_api_flat_history_ctype1
Sumy,2024-03,primary_sale,room_count,,2,1438353,26400,37550,689.1954545454546,440,lun_ua_api_flat_history_ctype1
Sumy,2023-06,primary_sale,room_count,,1,968500,24162,26000,648.6485906040268,457,lun_ua_api_flat_history_ctype1
Sumy,2024-11,primary_sale,room_count,,1,833000,24184,20000,580.6451612903226,423,lun_ua_api_flat_history_ctype1
Sumy,2024-04,primary_sale,room_count,,2,1302332,24739,33999,645.8333333333333,577,lun_ua_api_flat_history_ctype1
Sumy,2023-06,primary_sale,room_count,,3,1490000,21995,40000,590.4762416107383,255,lun_ua_api_flat_history_ctype1
Sumy,2024-12,primary_sale,room_count,,3,1438200,22157,34000,523.8095238095239,263,lun_ua_api_flat_history_ctype1
Sumy,2024-06,primary_sale,room_count,,1,903100,25518,22000,621.6216216216216,564,lun_ua_api_flat_history_ctype1
Sumy,2023-11,primary_sale,room_count,,3,1536120,23030,40102.336509594046,601.2365226471741,255,lun_ua_api_flat_history_ctype1
Sumy,2023-07,primary_sale,room_count,,2,1324320,23808,35600,640,389,lun_ua_api_flat_history_ctype1
Sumy,2023-07,primary_sale,room_count,,3,1488000,21615,40000,581.0452956989246,270,lun_ua_api_flat_history_ctype1
Sumy,2024-07,primary_sale,room_count,,3,1631104,23625,38975,564.516129032258,334,lun_ua_api_flat_history_ctype1
Sumy,2024-05,primary_sale,room_count,,1,900168,24193,23500,631.5789473684212,641,lun_ua_api_flat_history_ctype1
Sumy,2023-05,primary_sale,room_count,,1,932500,23697,25000.000000000004,635.3211796246649,139,lun_ua_api_flat_history_ctype1
Sumy,2024-07,primary_sale,room_count,,2,1335015,25652,31900,612.9406307977737,508,lun_ua_api_flat_history_ctype1
Sumy,2024-05,primary_sale,room_count,,3,1528370,22221,39900,580.0953079178886,371,lun_ua_api_flat_history_ctype1
Sumy,2024-07,primary_sale,room_count,,1,920700,26424,22000,631.3938618925831,522,lun_ua_api_flat_history_ctype1
Sumy,2023-09,primary_sale,room_count,,2,1264065,24515,33000,640,383,lun_ua_api_flat_history_ctype1
Sumy,2024-08,primary_sale,room_count,,3,1492200,22798,36000,550,351,lun_ua_api_flat_history_ctype1
Sumy,2024-06,primary_sale,room_count,,3,1598898,23457,38950,571.4285714285716,337,lun_ua_api_flat_history_ctype1
Sumy,2023-07,primary_sale,room_count,,1,948600,24048,25499.999999999996,646.4461021505375,482,lun_ua_api_flat_history_ctype1
Sumy,2024-01,primary_sale,room_count,,1,976778,26080,25500,680.8510638297872,361,lun_ua_api_flat_history_ctype1
