oblast,month,room_count,years_rent_to_buy,source
Chernihiv,2023-12,1,18,lun_ua_api_sale_in_rent
Chernihiv,2024-02,1,19.8,lun_ua_api_sale_in_rent
Chernihiv,2024-06,1,12.9,lun_ua_api_sale_in_rent
Chernihiv,2023-11,1,16.9,lun_ua_api_sale_in_rent
Chernihiv,2024-03,1,12.2,lun_ua_api_sale_in_rent
Chernihiv,2024-07,1,16.6,lun_ua_api_sale_in_rent
Chernihiv,2024-05,1,14.1,lun_ua_api_sale_in_rent
Chernihiv,2023-10,1,16.5,lun_ua_api_sale_in_rent
Chernihiv,2024-09,1,13.5,lun_ua_api_sale_in_rent
Chernihiv,2024-10,2,20.8,lun_ua_api_sale_in_rent
Chernihiv,2024-12,2,22.2,lun_ua_api_sale_in_rent
Chernihiv,2024-01,2,23.9,lun_ua_api_sale_in_rent
Chernihiv,2024-03,2,23.9,lun_ua_api_sale_in_rent
Chernihiv,2023-10,2,21.3,lun_ua_api_sale_in_rent
Chernihiv,2023-11,2,21.7,lun_ua_api_sale_in_rent
Chernihiv,2024-02,2,21.4,lun_ua_api_sale_in_rent
Chernihiv,2024-05,2,16,lun_ua_api_sale_in_rent
Chernihiv,2023-06,2,22.9,lun_ua_api_sale_in_rent
Chernihiv,2024-08,2,16.5,lun_ua_api_sale_in_rent
Chernihiv,2023-09,2,20.5,lun_ua_api_sale_in_rent
Chernihiv,2023-12,2,22.9,lun_ua_api_sale_in_rent
Chernihiv,2024-11,2,21,lun_ua_api_sale_in_rent
Chernihiv,2024-04,2,18,lun_ua_api_sale_in_rent
Chernihiv,2024-09,2,19.5,lun_ua_api_sale_in_rent
Chernihiv,2023-08,2,20.4,lun_ua_api_sale_in_rent
Chernihiv,2023-05,2,28,lun_ua_api_sale_in_rent
Chernihiv,2023-07,2,19.7,lun_ua_api_sale_in_rent
Chernihiv,2024-06,2,19.2,lun_ua_api_sale_in_rent
Chernihiv,2024-07,2,22.3,lun_ua_api_sale_in_rent
Chernihiv,2024-11,3,19.8,lun_ua_api_sale_in_rent
Chernihiv,2023-11,3,25.6,lun_ua_api_sale_in_rent
Chernihiv,2023-12,3,30.7,lun_ua_api_sale_in_rent
Chernihiv,2023-06,3,32.3,lun_ua_api_sale_in_rent
Chernihiv,2023-07,3,26,lun_ua_api_sale_in_rent
Chernihiv,2023-05,3,14.9,lun_ua_api_sale_in_rent
Chernihiv,2024-02,3,27.4,lun_ua_api_sale_in_rent
Chernihiv,2023-09,3,24.6,lun_ua_api_sale_in_rent
Chernihiv,2024-01,3,26.6,lun_ua_api_sale_in_rent
Chernihiv,2024-05,3,18.5,lun_ua_api_sale_in_rent
Chernihiv,2024-09,3,24.3,lun_ua_api_sale_in_rent
Chernihiv,2024-08,3,16.4,lun_ua_api_sale_in_rent
Chernihiv,2024-06,3,19.2,lun_ua_api_sale_in_rent
Chernihiv,2023-08,3,22.1,lun_ua_api_sale_in_rent
Chernihiv,2024-03,3,19.8,lun_ua_api_sale_in_rent
Chernihiv,2024-07,3,14.8,lun_ua_api_sale_in_rent
Chernihiv,2024-10,3,27.4,lun_ua_api_sale_in_rent
Chernihiv,2023-10,3,27,lun_ua_api_sale_in_rent
Chernihiv,2024-04,3,18,lun_ua_api_sale_in_rent
Chernihiv,2024-12,3,25,lun_ua_api_sale_in_rent
